meta_category,report_text,severity_output,rationale_output,official_source,official_hazard_type,official_severity_hint,official_distance_km,official_minutes_ago,official_summary,prior_suburb,prior_text,prior_minutes_ago
official_supports,"Barely felt anything, just a slight wobble.",low,"Matches a recent nearby earthquake in official data, but the felt intensity described is minimal — low impact despite official corroboration.",geonet,earthquake,medium,15.8,40,"M4.0 earthquake, 20km deep, 25km south of Wellington",,,
official_supports,"Road's completely closed here, cars turning back.",high,Corroborated by an active official road event; a full closure described here is a more serious traffic impact than the bare official record confirms.,nzta,road_hazard,medium,1.2,18,"Road Closure: SH1 Ngauranga Gorge, both lanes, slip",,,
official_unrelated,"Felt a slight tremor a moment ago, not sure if it was real.",low,"Nearby official data is about a road event, not seismic activity — no official corroboration for a tremor here, and the description itself is uncertain.",nzta,road_hazard,low,4,30,"Road Work (Other): SH1 Johnsonville, temporary speed restriction",,,
official_unrelated,"Road looks partially blocked near here, not sure what happened.",medium,"Nearby official data is about seismic activity, not a road event — no official confirmation of a road hazard here, but a partial road blockage could warrant futher investigation. ",geonet,earthquake,low,6.5,120,"M3.1 earthquake, 15km deep, near Khandallah",,,
official_unrelated,"Ground shook quite strongly just now, worried about aftershocks.",low,"Nearby official data is about a road event, not seismic activity — no official corroboration, and with no concrete impact described, severity follows the low official signal nearby, despite the expressed worry.",nzta,road_hazard,low,2.8,45,"Road Work (Other): SH2 Lower Hutt, lane closure",,,
related_report,"Water coming up on the street near my house too, same area.",medium,"An independent report corroborates flooding already described nearby — two separate community reports of water on the street indicate a real, moderate hazard, not yet a severe one.",,,,,,,Ngaio,"Water pooling on the road, getting worse.",20
related_report,"Similar cracking noticed in our fence line as well, same time.",medium,"A second independent report of minor structural damage in the same area adds some weight, though nothing described so far suggests severe damage.",,,,,,,Karori,Small crack appeared in my driveway after that shake earlier.,20
related_report,"Also lost part of our fence to the wind just now, same street.",medium,"Two independent reports of wind damage on the same street shortly apart corroborate a real, localised event — concrete but contained property damage (fence) is moderate, not severe.",,,,,,,Miramar,Strong wind just took the roof off next door's shed.,20
related_report,"Same smoke smell here too, a few streets over.",medium,"A second independent report of the same smoke smell nearby raises this above an isolated, possibly-mistaken observation, though nothing confirms an actual fire yet.",,,,,,,Petone,"Smells like smoke near the waterfront, can't see flames yet.",20
related_report,"Same here, just a bit of water pooling, not blocking anything.",low,Two independent reports agree the flooding is minor — corroboration here doesn't raise severity beyond what both reports already describe.,,,,,,,Brooklyn,"Bit of surface flooding on the road, nothing major.",20
related_report,"Small kitchen fire, put out quickly with no injuries.",low,"The nearby prior report describes an unrelated, minor issue — it doesn't corroborate this report, so it isn't treated as independent confirmation of anything more serious.",,,,,,,Kilbirnie,"Bit of graffiti on the community hall wall, nothing urgent.",20
no_location,Something's happening near me but I don't want to share my exact location.,low,"No location was given, so official context can't be filtered by distance and is excluded rather than guessed at, low severity due to the vague information in the report.",,,,,,,,,
no_location,"Not sure exactly where I am right now, but it feels serious.",low,"No location was given, so official context is excluded rather than guessed at — low severity due to the vague information in the report.",,,,,,,,,
no_location,Not sure of my exact location but there's a storm warning on the radio for our area.,low,"No location was given, but MetService's relevance doesn't depend on the report's location — the warning still applies but severity is low as no damage or other impact is reported. ",metservice,severe_weather,medium,,30,"Severe Weather Warning, greater Wellington region",,,
no_context,"Chimney's got a small crack in it, noticed it today.",low,"A minor, cosmetic-sounding issue with no corroborating official data — low impact, no immediate danger described.",,,,,,,,,
no_context,"There's a slip on the walking track behind our house, path's blocked.",medium,A slip on a track warrants further investigation to determine if the track can be cleared or need to be shut. ,,,,,,,,,
no_context,Neighbour's tree looks like it's leaning more than usual after the wind last night.,low,"A precautionary observation with no reported damage yet and no official corroboration — worth noting, not urgent.",,,,,,,,,
no_context,"Heard a rumour online about a gas main issue in the area, can't confirm.",medium,"An unconfirmed but potentially serious claim — treated with some caution rather than dismissed outright, pending confirmation.",,,,,,,,,
no_context,Manhole cover is loose and rattling every time a car goes over it.,low,A minor infrastructure annoyance with no official data and no described danger.,,,,,,,,,
no_context,"Found a dead bird on the beach, wondering if it's related to anything going around.",low,"Not an emergency hazard on its own, and no official context applies.",,,,,,,,,
no_context,Streetlight's been flickering on and off for two nights now.,low,"A minor, non-urgent infrastructure issue with no official corroboration.",,,,,,,,,
no_context,Smoke alarm in our building went off but no smoke or fire visible anywhere.,low,Likely a false alarm — no visible hazard described and no official data to suggest otherwise.,,,,,,,,,
no_context,Retaining wall along the driveway has a new crack since the rain.,medium,"Concrete, described structural damage to a retaining wall — a real property concern even without official confirmation.",,,,,,,,,
no_context,"Massive bang and the whole house shook, windows rattled badly.",medium,An unexplained impact event with no official data yet — monitor for any more incoming reports. ,,,,,,,,,
no_context,"Bit of ponding on the road after the rain, nothing serious.",low,"Minor, self-described as not serious — low impact, no official warning applies.",,,,,,,,,
no_context,Someone said there's flooding near the school but I haven't seen it myself.,medium,"Secondhand, unconfirmed claim involving a location with vulnerable occupants — treated with some caution given who it could affect.",,,,,,,,,
no_context,"Fence panel came loose in the wind, banging against next door's wall.",low,"Minor wind-related property issue, no wider impact described.",,,,,,,,,
no_context,"Strong smell of gas near the shops, a few people are walking away from the area.",high,A strong gas smell with visible public reaction (people leaving the area) — treated as urgent given the potential for a serious incident.,,,,,,,,,
no_context,Garden shed roof lifted slightly in the wind but stayed put.,low,"Minor wind damage, resolved on its own, no wider impact described.",,,,,,,,,
no_context,"Big pothole's appeared on our street overnight, quite deep.",medium,A large pot-hole may damage vehicles and pose a safety hazard; repair crews should be dispatched. ,,,,,,,,,
no_context,"Water pressure's really low in our area since this morning, not sure why.",low,"A wider utility issue affecting the area, more notable than an isolated incident, though no official confirmation yet of cause.",,,,,,,,,
no_context,"Someone's car alarm has been going off for over an hour, not sure why.",low,Not a hazard report on its own — no official context applies.,,,,,,,,,
no_context,"Cracking sound from the cliff face near the walkway, no rocks came down.",medium,"A concrete, if unconfirmed, sign of possible instability near a public walkway — enough to warrant some caution and continued monitoring. ",,,,,,,,,
no_context,Internet and cell service have been patchy here for the last half hour.,low,"A connectivity inconvenience, not itself an emergency hazard, and no official data applies.",,,,,,,,,
no_context,"Large branch came down across the footpath, blocking it completely.",medium,"A concrete, described obstruction on a public footpath — real but localised impact.",,,,,,,,,
no_context,"Whole block's lights just went out, looks bigger than just our building.",medium,"A wider outage affecting more than one property is more significant than an isolated flicker, though cause is unconfirmed.",,,,,,,,,
no_context,"Bit of surface water on the motorway on-ramp, cars slowing down.",low,"Minor, self-described as causing only slowdowns — low impact, no official warning applies.",,,,,,,,,
no_context,My elderly neighbour hasn't answered her door all day and usually does.,high,A welfare concern for a vulnerable person — treated as high priority regardless of the absence of an official hazard signal.,,,,,,,,,
no_context,There's a strange vibration coming through the ground every few minutes.,low,"An unusual, repeated physical sensation with no official corroboration yet.",,,,,,,,,
no_context,"Playground equipment at the park looks like it's been damaged, maybe by wind.",low,Localised property/equipment damage with no wider safety concern described.,,,,,,,,,
no_context,Someone mentioned a small fire near the reserve but it might have been a barbecue.,high,Ambiguous secondhand report of possible fire — any report of fire requires further investigation. ,,,,,,,,,
no_context,Traffic lights at the intersection are stuck on flashing red.,medium,"A concrete, described traffic-safety issue affecting an intersection — real but localised impact.",,,,,,,,,
no_context,Bin collection truck seems to have knocked our letterbox over.,low,"Minor property issue, low severity, no wider hazard implied.",,,,,,,,,
no_context,Whole street smells strongly of smoke this morning but no fire visible anywhere.,medium,A described but unconfirmed smoke smell affecting a whole street — enough to warrant some caution pending more information.,,,,,,,,,
official_supports,"Felt a gentle rolling motion for a few seconds, nothing moved.",low,"Matches a recent nearby earthquake in official data; a gentle, undamaging shake is consistent with a low-magnitude event — low impact despite official corroboration.",geonet,earthquake,low,12,8,"M3.4 earthquake, 18km deep, near Eastbourne",,,
official_supports,"Whole house swayed for a couple of seconds, nothing fell, just felt it.",low,"Matches a recent nearby earthquake in official data, but the report directly confirms no damage — the direct 'nothing fell' account takes priority over the official hint, low severity.",geonet,earthquake,medium,6.4,5,"M4.1 earthquake, 15km deep, near Khandallah",,,
official_supports,"A few books fell off the shelf, nothing broken, bit of a jolt.",low,Matches a recent nearby earthquake in official data; described minor falling objects indicate real but limited impact.,geonet,earthquake,medium,4.2,11,"M4.3 earthquake, 10km deep, near Karori",,,
official_supports,Cupboard doors flew open and some plates smashed on the floor.,low,Matches a recent nearby earthquake in official data; broken items indicate concrete but contained property impact.,geonet,earthquake,medium,3.1,7,"M4.4 earthquake, 9km deep, near Brooklyn",,,
official_supports,"Ground shook for a good ten seconds, quite strong, but the house seems fine.",low,"Matches a recent nearby earthquake in official data; a sustained, strong shake but with no described damage — the direct confirmation of no impact takes priority over the official hint, low severity.",geonet,earthquake,medium,2.5,3,"M4.6 earthquake, 11km deep, near Thorndon",,,
official_supports,Wall's got a new crack running up from the corner since the shake.,medium,"Matches a recent nearby earthquake in official data; a new structural crack is concrete property damage — moderate severity, worth follow-up.",geonet,earthquake,medium,5,22,"M4.2 earthquake, 14km deep, near Miramar",,,
official_supports,"Chimney partially collapsed onto the roof, bricks everywhere.",high,"Matches a recent, higher-magnitude nearby earthquake in official data; a partial structural collapse is a genuine safety hazard — high severity.",geonet,earthquake,high,3.8,4,"M5.4 earthquake, 10km deep, near Wellington CBD",,,
official_supports,"Neighbour's retaining wall has come down, blocking the driveway.",high,"Matches a recent, significant nearby earthquake in official data; a collapsed retaining wall is real structural damage with access implications — high severity.",geonet,earthquake,high,6.9,16,"M5.1 earthquake, 12km deep, near Lower Hutt",,,
official_supports,"Just a small wobble, most people here didn't even notice it.",low,"Matches a recent nearby earthquake in official data; barely perceptible, no described impact — low severity.",geonet,earthquake,low,9.7,19,"M3.2 earthquake, 20km deep, near Porirua",,,
official_supports,"Felt two small shakes close together, nothing damaged either time.",low,Matches recent nearby earthquake activity in official data; repeated but undamaging shakes — low severity despite the repetition.,geonet,earthquake,low,11.2,26,"M3.6 earthquake, 16km deep, near Tawa",,,
official_supports,"Bit of a queue near the roadworks, moving slowly but moving.",low,"Corroborated by an active but minor official road event; slow-moving traffic is a low-impact inconvenience, not a hazard.",nzta,road_hazard,low,2,15,"Road Work (Other): SH2 Petone, lane management in place",,,
official_supports,"One lane closed here, a bit of a bottleneck at peak time.",low,Matches an active minor official road event; a single-lane bottleneck is low impact on its own.,nzta,road_hazard,low,1.5,40,"Lane Closure: SH1 Ngauranga, single lane closed for maintenance",,,
official_supports,"Crash up ahead, looks like two cars, everyone seems to be out and about.",medium,Corroborated by an active official crash report with minor injuries; concrete but contained impact — moderate severity.,nzta,road_hazard,medium,0.8,6,"Crash (Two-Vehicle): SH1 Johnsonville, minor injuries reported",,,
official_supports,"Truck's jack-knifed on the motorway, both lanes affected.",high,"Corroborated by an active official incident blocking all lanes; a jack-knifed truck with full closure is a significant, high-impact event.",nzta,road_hazard,high,1.1,9,"Crash (Heavy Vehicle): SH1 Aotea Quay, all lanes blocked",,,
official_supports,"Slip's come down onto the road, one lane's got debris on it.",high,"Matches an active official slip report; partial obstruction is concrete but impact — road closure may be required, further investigation and cleanup is needed. ",nzta,road_hazard,medium,3.4,33,"Slip: SH2 Haywards Hill, partial lane obstruction",,,
official_supports,"Whole road's gone, big washout after the rain, no way through.",high,"Corroborated by an active official closure due to a washout; an impassable road is a significant, high-impact event.",nzta,road_hazard,high,2.7,12,"Road Closure: SH58 Haywards, washout, road impassable",,,
official_supports,Roadworks cones are out but I don't see anyone actually working.,low,"Matches an active but routine official road work notice; low impact, no described disruption.",nzta,road_hazard,low,4.5,60,"Road Work (Other): SH1 Tawa, scheduled resurfacing",,,
official_supports,Traffic's backed up for a few blocks because of some kind of closure.,medium,Corroborated by an active official closure with a diversion in place; a multi-block backup is a real but manageable impact.,nzta,road_hazard,medium,1.9,17,"Road Closure: SH1 Thorndon Quay, temporary closure, diversion in place",,,
official_supports,Ice warning signs are up on the hill road this morning.,low,Matches an active official advisory; a precautionary warning with no incident described is low severity.,nzta,road_hazard,low,5.8,45,"Road Advisory: Rimutaka Hill Road, icy conditions possible",,,
official_supports,"Multi-car pile-up on the motorway, ambulances on scene.",high,Corroborated by an active official report of serious injuries and emergency services present — clearly high severity.,nzta,road_hazard,high,2.2,5,"Crash (Multi-Vehicle): SH1 Ngauranga Gorge, serious injuries, emergency services on scene",,,
official_supports,"Bit windy out today, nothing out of the ordinary really.",low,Matches an active but low-level official wind watch; the report itself describes nothing unusual — low severity.,metservice,severe_weather,low,,50,"Strong Wind Watch, Wellington region",,,
official_supports,"Rain's been steady all morning, a bit more than usual.",low,"Matches an active official rain watch at the lower end; steady, undramatic rain is low impact.",metservice,severe_weather,low,,35,"Heavy Rain Watch, Wellington region",,,
official_supports,"Wind's picked up a lot in the last hour, hard to walk in a straight line.",low,Corroborated by an active official severe wind warning.,metservice,severe_weather,medium,,20,"Severe Wind Warning, Wellington region",,,
official_supports,"Power's out across a few streets, looks weather-related.",medium,"Matches an active official severe weather watch; a multi-street power outage is concrete, moderate impact.",metservice,severe_weather,medium,,28,"Severe Thunderstorm Watch, Wellington region",,,
official_supports,"Hail's coming down pretty hard, car's taking a beating.",low,Corroborated by an active official severe thunderstorm warning naming large hail; described property impact (to the car) is low severity.,metservice,severe_weather,medium,,10,"Severe Thunderstorm Warning, Wellington region, large hail possible",,,
official_supports,"Roof's lost a few tiles in the wind, nothing major otherwise.",low,Matches an active official severe wind warning; a few lost tiles is concrete but limited property damage — low severity.,metservice,severe_weather,medium,,15,"Severe Wind Warning, Wellington region",,,
official_supports,"Whole roof came off the garage next door, debris across the yard.",high,Corroborated by an active official red wind warning naming extreme gusts; a roof torn off is significant structural damage — high severity.,metservice,severe_weather,high,,8,"Red Wind Warning, Wellington region, extreme gusts expected",,,
official_supports,"Coastal path's flooded, waves coming right up over the wall.",medium,Corroborated by an active official red warning for coastal inundation; waves breaching the sea wall is moderate severity requiring caution.,metservice,severe_weather,high,,12,"Red Warning: Severe Coastal Inundation, Wellington south coast",,,
official_supports,"Just a light drizzle here, doesn't feel severe at all.",low,"Official data shows a watch-level warning, but the report itself describes only light drizzle — the described reality overrides the official hint, low severity.",metservice,severe_weather,medium,,42,"Heavy Rain Watch, Wellington region",,,
official_supports,"Some surface flooding on low-lying streets, cars driving through slowly.",medium,Corroborated by an active official heavy rain warning; described surface flooding that vehicles can still navigate is real but moderate impact.,metservice,severe_weather,medium,,18,"Heavy Rain Warning, Wellington region",,,
official_unrelated,"Felt the ground move a bit, not sure what caused it.",low,"Nearby official data is about routine road work, not seismic activity — no corroboration for what caused this, and with no concrete impact described, severity follows the low-level official signal nearby.",nzta,road_hazard,low,3.2,25,"Road Work (Other): SH1 Johnsonville, resurfacing",,,
official_unrelated,"My fence just blew straight down, whole panel gone.",medium,"Nearby official data is an old, low-level earthquake, unrelated to wind damage — no corroboration for this specific event, but the described fence damage is concrete enough on its own to sit at moderate severity, regardless of the low official signal nearby.",geonet,earthquake,low,7.5,90,"M3.0 earthquake, 22km deep, near Eastbourne",,,
official_unrelated,Think I smelled smoke but it might just be someone's fireplace.,low,"Nearby official data is a low-level wind watch, unrelated to a smoke smell — no corroboration, and with the report itself uncertain and no concrete impact, severity stays low.",metservice,severe_weather,low,,50,"Strong Wind Watch, Wellington region",,,
official_unrelated,"Road's flooded outside our place, ankle deep now.",medium,"Nearby official data is routine road work, not a confirmed flooding event — no direct corroboration, but the described flooding depth is concrete enough for moderate severity on its own, consistent with the moderate official signal nearby.",nzta,road_hazard,medium,4.1,70,"Road Work (Other): SH2 Melling, lane management",,,
official_unrelated,"Car alarm going off non-stop, might be a break-in.",low,"Nearby official data is an unrelated, low-level earthquake — no corroboration for a possible break-in, and with no concrete hazard impact described, severity stays low.",geonet,earthquake,low,9.8,45,"M2.9 earthquake, 18km deep, near Khandallah",,,
official_unrelated,"Strange rumbling noise from underground, been going a few minutes.",low,"Nearby official data is about a road closure, not seismic activity, so it doesn't directly corroborate a rumbling sound — low severity",nzta,road_hazard,medium,5.6,38,"Road Closure: SH1 Aotea Quay, temporary lane closure",,,
official_unrelated,"Whole street's lost power, no idea why.",medium,"Nearby official data is an old, low-level, unrelated earthquake — no corroboration for a power outage, but a whole-street outage is concrete enough on its own for moderate severity, regardless of the low official signal.",geonet,earthquake,low,11,100,"M3.1 earthquake, 20km deep, near Porirua",,,
official_unrelated,"Bit of a haze in the air today, hoping it's not smoke.",low,"Nearby official data is a low-level wind watch, unrelated to visibility haze — no corroboration, and with no concrete impact described, severity stays low.",metservice,severe_weather,low,,65,"Strong Wind Watch, Wellington region",,,
official_unrelated,"House shook for a second, thought it might have been a truck outside.",high,"Nearby official data describes a serious multi-vehicle crash, not seismic activity, so it doesn't directly corroborate a house shake — but with no impact of its own described, severity follows the high official signal nearby as a matter of caution, given how serious that nearby event is.",nzta,road_hazard,high,2.4,55,"Crash (Multi-Vehicle): SH1 Johnsonville, serious injuries",,,
official_unrelated,There's a weird smell like gas near the park.,medium,"Nearby official data is an unrelated, moderate earthquake — no corroboration for a gas smell, but with no confirmed impact of its own, severity follows the moderate official signal nearby, alongside the inherent caution a gas smell near a public space warrants.",geonet,earthquake,medium,8.3,80,"M3.9 earthquake, 16km deep, near Karori",,,
official_unrelated,"Bins have blown all over the street, quite windy out.",low,"Nearby official data is an unrelated minor crash, not weather-related — no corroboration, and blown bins alone are a trivial, low-severity impact.",nzta,road_hazard,low,3.9,48,"Crash (Minor): SH1 Johnsonville, minor delay",,,
official_unrelated,Big crack's appeared across our driveway overnight.,medium,"Nearby official data is a low-level wind watch, unrelated to ground cracking — no corroboration, but a new driveway crack is concrete property damage worth moderate severity on its own.",metservice,severe_weather,low,,72,"Strong Wind Watch, Wellington region",,,
official_unrelated,Thought I heard sirens for a while but can't see anything now.,low,"Nearby official data is an unrelated, low-level earthquake — no corroboration, and with nothing currently visible or confirmed, severity stays low.",geonet,earthquake,low,13.2,110,"M2.7 earthquake, 14km deep, near Eastbourne",,,
official_unrelated,"Water's pooling badly near the shops, not sure where it's coming from.",medium,"Nearby official data is routine drainage road work, not a confirmed flooding event — no direct corroboration, but described pooling near a public area is concrete enough for moderate severity, matching the moderate official signal nearby.",nzta,road_hazard,medium,1.8,60,"Road Work (Other): SH2 Petone, drainage maintenance",,,
official_unrelated,Someone said there was a small tremor but I didn't feel anything.,medium,"Nearby official data describes a serious road washout, not seismic activity, so it doesn't corroborate a tremor — but with no impact of its own described, severity follows the moderate signal.",nzta,road_hazard,high,6.7,33,"Road Closure: SH58 Haywards, washout, road impassable",,,
official_unrelated,"Tree's come down across the footpath, blocking it completely.",medium,"Nearby official data is an unrelated, low-level earthquake — no corroboration for the fallen tree, but a completely blocked footpath is concrete, moderate impact on its own regardless of the low official signal.",geonet,earthquake,low,10.4,95,"M3.2 earthquake, 19km deep, near Porirua",,,
official_unrelated,Not sure if it's smoke or just fog rolling in.,low,"Nearby official data is an active severe wind warning, unrelated to smoke/fog specifically — no direct corroboration, but with no concrete impact described, severity follows the low official signal nearby.",metservice,severe_weather,medium,,80,"Severe Wind Warning, Wellington region",,,
official_unrelated,"Ground felt a bit off for a moment, hard to describe.",low,"Nearby official data is routine road work, not seismic activity — no corroboration, and the description is too vague with no impact described to warrant more than low severity.",nzta,road_hazard,low,4.8,20,"Road Work (Other): SH1 Ngauranga, lane management",,,
official_unrelated,"Whole block smells like burning rubber, no fire visible.",medium,"Nearby official data is an unrelated, low-level earthquake — no corroboration for the smell, but a whole-block burning smell is concrete enough on its own to warrant moderate severity.",geonet,earthquake,low,9.1,85,"M2.6 earthquake, 12km deep, near Khandallah",,,
official_unrelated,Might have felt a small shake but honestly not sure.,low,"Nearby official data is an unrelated minor crash, not seismic activity — no corroboration, but with no impact of its own described, severity follows the low official signal nearby.",nzta,road_hazard,medium,7.3,40,"Crash (Minor): SH2 Melling, minor delay",,,
official_unrelated,"Loud crack sound from the trees up the hill, nothing seen falling.",low,"Nearby official data is a low-level wind watch, plausibly related but not confirmed as the cause — with nothing seen falling, severity stays low.",metservice,severe_weather,low,,58,"Strong Wind Watch, Wellington region",,,
official_unrelated,"Some kind of leak on the road, water's spreading across both lanes.",medium,"Nearby official data is an unrelated, moderate earthquake — no corroboration for a water leak, but water spreading across both lanes is concrete enough for moderate severity on its own, matching the moderate official signal nearby.",geonet,earthquake,medium,12.6,105,"M3.8 earthquake, 17km deep, near Eastbourne",,,
official_unrelated,"Dogs in the neighbourhood have been barking non-stop, odd behaviour.",low,"Nearby official data is routine road work, unrelated to animal behaviour — no corroboration, and this alone doesn't establish a concrete hazard, low severity.",nzta,road_hazard,low,5.2,50,"Road Work (Other): SH1 Tawa, resurfacing",,,
official_unrelated,"Bit of a sulphur smell in the air, not sure if normal or not.",medium,"Nearby official data is an active severe thunderstorm watch, unrelated to a sulphur smell specifically — no direct corroboration, but with no concrete impact described, severity follows the moderate official signal nearby.",metservice,severe_weather,medium,,66,"Severe Thunderstorm Watch, Wellington region",,,
official_unrelated,Balcony railing feels looser than usual after the wind.,low,"Nearby official data is an unrelated, low-level earthquake — no corroboration, and a slightly loose railing alone is a minor, low-severity concern.",geonet,earthquake,low,14,115,"M2.5 earthquake, 13km deep, near Porirua",,,
official_unrelated,Whole row of shops has their alarms going off at once.,medium,"Nearby official data describes a serious multi-vehicle crash, unrelated to the shop alarms directly — no corroboration, but with no confirmed impact of its own, severity follows the medium official signal nearby given how serious that nearby event is.",nzta,road_hazard,high,3,28,"Crash (Multi-Vehicle): SH2 Petone, serious injuries",,,
official_unrelated,"Noticed the tide's really far out, further than usual for this time.",high,"Nearby official data is an unrelated, low-level earthquake — no corroboration, but an unusually far-out tide can be a sign of tsunami activity which warrants immediate evacuation of the coastlinst regardless of the low official signal nearby.",geonet,earthquake,low,16.5,130,"M2.8 earthquake, 21km deep, near Eastbourne",,,
official_unrelated,Slight burning smell from the substation on the corner.,medium,"Nearby official data is routine road work, unrelated to the smell — no corroboration, but a burning smell specifically from electrical infrastructure is concrete enough on its own for moderate caution.",nzta,road_hazard,low,2.1,35,"Road Work (Other): SH1 Johnsonville, resurfacing",,,
official_unrelated,Heard what sounded like distant thunder but sky looks clear.,low,"Nearby official data is an unrelated, moderate earthquake — no corroboration for a thunder-like sound with a clear sky, but with no concrete impact of its own, severity follows the low official signal nearby.",geonet,earthquake,medium,10.9,98,"M3.9 earthquake, 15km deep, near Khandallah",,,
official_unrelated,"Sign's fallen off the building front, landed on the footpath.",medium,"Nearby official data is a low-level wind watch — plausibly related but not confirmed as the cause, and a fallen sign landing on a footpath is concrete property/safety-relevant impact worth moderate severity on its own.",metservice,severe_weather,low,,62,"Strong Wind Watch, Wellington region",,,
related_report,"Similar dripping reported in the unit above us too, same building.",low,"A second independent report of the same building issue corroborates a real, ongoing problem — low severity, not yet indicating anything more serious.",,,,,,,Newtown,"Bit of a leak from upstairs, dripping into our hallway.",20
related_report,"Same here, waves are noticeably bigger than normal today.",medium,"Two independent reports agree conditions are unusually rough — corroboration raises this above an isolated observation, moderate caution warranted.",,,,,,,Island Bay,Waves have been unusually big all morning.,20
related_report,Also seeing more debris than normal on our stretch of beach.,low,"Two independent reports agree on a minor, non-hazardous observation — corroboration doesn't raise this beyond low severity.",,,,,,,Seatoun,"Bit of debris washed up on the beach, more than usual.",20
related_report,"Same short outage here too, back on now.",low,"Two independent reports describe a brief, already-resolved outage — corroboration confirms it was real but doesn't raise the severity.",,,,,,,Kilbirnie,"Power went out for a few minutes, came back on its own.",20
related_report,"Another tree down two streets over, same time roughly.",medium,"Independent reports of trees down in the same area shortly apart suggest a real, localised wind event — moderate severity given the road-blocking impact.",,,,,,,Johnsonville,Tree came down blocking half the road.,20
related_report,"Ours went off too around the same time, also nothing found.",low,Two independent false-alarm reports corroborate each other as non-events — low severity.,,,,,,,Tawa,"Smoke alarm went off in our building, no fire found.",20
related_report,"Similar damp patch appeared in our place too, same street.",low,A second independent report of the same building issue on the same street - low severity maintained. ,,,,,,,Churton Park,Ceiling's got a damp patch that's spreading.,20
related_report,Saw a similar slip further along the same bank.,medium,"Two independent reports of slips along the same bank suggest a real, developing instability — moderate severity.",,,,,,,Porirua,Small slip on the bank behind our property.,20
related_report,"Same foam and debris here too, a bit further down the beach.",low,"Two independent reports agree on a minor, non-hazardous observation — low severity.",,,,,,,Titahi Bay,Bit of foam and debris in the water near the boat ramp.,20
related_report,"Same smoke smell reported here too, getting stronger.",high,Two independent reports of a strengthening smoke smell across the neighbourhood suggest a real and possibly worsening fire risk — high severity given the trend.,,,,,,,Kapiti,Strong smell of smoke drifting through the neighbourhood.,20
related_report,"Ours came down too, similar time, same street.",medium,"Two independent reports of fence damage on the same street corroborate a real, if contained, wind-damage event — moderate severity.",,,,,,,Paraparaumu,Fence blew down in the wind overnight.,20
related_report,"Agreed, river's noticeably higher on our side too.",medium,"Two independent reports agree river levels are elevated — corroboration raises confidence this is a real, developing situation worth moderate attention.",,,,,,,Waikanae,River's looking higher than usual after the rain.,20
related_report,"Heard about a similar small fire two doors down, also handled quickly.",medium,"Two independent, separately-handled minor fire incidents nearby raise some concern about a common cause, though both were resolved without injury — moderate severity.",,,,,,,Lower Hutt,"Small kitchen fire, already put out, no injuries.",20
related_report,"Same hail here, a few minutes later, no damage either.",low,Two independent reports agree the hail caused no damage — corroboration confirms the event but doesn't raise severity.,,,,,,,Upper Hutt,"Bit of hail came through, nothing damaged.",20
