meta_call,report_text,question_output,answer,actions_output
1_ask,"Thick smoke drifting through the street in Cannons Creek, happened a little while ago.","About how much smoke, and can you see any flames? Is there anyone or houses nearby?",,
1_ask,Reporting a car rolling on the corner in Wadestown.,"Can you please let us know if the car is on fire, or if anyone is injured? Is it blocking traffic nearby?",,
1_ask,A large group's gathered looking concerned.,Do you know what is group is concerned about? Is there any anti-social behaviour?,,
1_ask,Very strong gusts outside.,Are the gusts causing any damage?,,
1_ask,Roof's rattling loudly in the wind.,Is the roof at risk of being lifted up and causing injuries?,,
1_ask,Noticed the ground moving underfoot around Waikanae this morning.,"Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,Reporting a vehicle hitting a power pole in Kapiti — first noticed it 10 minutes ago. Traffic's backed up behind it.,"Thanks — has the pole fallen down and injured anyone? Is the car is on fire, or if anyone is injured? Is it blocking traffic nearby?",,
1_ask,"Water coming up through a drain in Churton Park, happened a little while ago.",Thanks for that — is it causing flood and is anyone in danger? Is it getting worse?,,
1_ask,Noticed a gentle tremor around Wainuiomata this morning.,"Thanks for the detail — can you confirm roughly how strong the shaking felt, on a scale from barely noticeable to extreme shaking?",,
1_ask,"There's been someone stuck on the cliff path near Paparangi, started about 10 minutes ago. Not sure how long they've been there.",Is the person injured or in life threatening danger?,,
1_ask,Noticed a cracking sound from the hillside around Taita this morning.,"Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,"The ground shaking on our street in Featherston, 45 minutes ago now. Still feels a bit unsteady.","Thanks for the detail — can you confirm roughly how strong the shaking felt, on a scale from barely noticeable to extreme shaking?",,
1_ask,Reporting a rolling motion that lasted a while in Ngaio.,"Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,Water's over the footpath now.,How deep is the water and is anyone in danger or vehicles damaged? Is it still rising? Do you know what is causing this?,,
1_ask,"An odd smell, hard to place.","Thanks for the detail — have you noticed anyone else reacting to the smell, or any visible source nearby?",,
1_ask,Water's rising in the gutter fast.,Is the water causing any flooding in your area?,,
1_ask,"There's been torrential rain near Eastbourne, started about half an hour ago. Gutters can't keep up with it.",Is the rain causing any flooding in your area?,,
1_ask,"There's a strange visible current near Berhampore, not sure how serious it is.",Is the current causing any flooding in your area? Do you know what is causing it?,,
1_ask,"There's been a spreading damp patch on the ceiling near Mount Victoria, started about 20 minutes ago. Nothing else seems affected.",Can you tell us a bit more — is your ceiling in risk of falling down? ,,
1_ask,"There's been a collapsed fence panel near Roseneath, started about half an hour ago. Doesn't look like it's spread further yet.",Is the fence blocking any path or road? Is anyone injured as a result of that?,,
1_ask,"There's a sparking transformer near Grenada, not sure how serious it is.","Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,"There's two cars colliding near Kilbirnie, not sure how serious it is.",Are they cars on fire? Is anyone injured?,,
1_ask,There's flooding near the shops.,Thanks for that — how high is the flood and is anyone in danger? Is it getting worse?,,
1_ask,Felt a tremor just now.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,Someone's collapsed near the shops.,"Thanks for flagging this — can you describe what's happening a bit more, and your rough location?",,
1_ask,Reporting water rising fast in the gutter in Masterton.,"Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,A slip's come down onto the road.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,"The stream overflowing its banks on our street in Brooklyn, an hour ago now. A couple of letterboxes are half-submerged.",Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,Just saw a car crash near our place in Tawa.,"Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,The stream's overflowing.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,There's been water coming up in the carpark in Roseneath since about a few minutes ago. A couple of letterboxes are half-submerged.,That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,"A slip that's come down onto the road in Southgate, happened a little while ago.","Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,There's been a motorbike accident in Linden since about an hour ago. Airbags look like they went off.,Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,A small slip's appeared on the bank.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,Quite a jolt just then.,"Thanks for flagging this — can you describe what's happening a bit more, and your rough location?",,
1_ask,Noticed a multi-car crash around Ngaio this morning.,"Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,Torrential rain right now.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,Noticed a vehicle hitting a power pole around Grenada this morning.,"Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,Whole street's lost power.,"Thanks for flagging this — can you describe what's happening a bit more, and your rough location?",,
1_ask,The road surface has buckled.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,"There's been a car rolling on the corner near Johnsonville, started about 10 minutes ago. People are out of their cars, walking around.",Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,"There's been a sudden jolt near Linden, started about 10 minutes ago. Neighbours felt it too.",That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,There's been gale-force gusts in Whitby since about an hour ago. Trampoline's blown into the neighbour's yard.,That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,There's been the ground moving underfoot in Aro Valley since about 45 minutes ago. Doesn't seem to have caused any damage.,Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,Just saw a sulphur smell in the air near our place in Hataitai.,"Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,Just saw a strong shake near our place in Tawa.,"Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,"A small, so-far-contained fire on our street in Thorndon, 10 minutes ago now. Smoke seems to be getting thicker.",That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,"There's the stream overflowing its banks near Island Bay, not sure how serious it is.","Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,Reporting an elderly neighbour not answering all day in Ngaio.,"Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,Reporting wind strong enough to knock things over in Paraparaumu.,"Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,"Trees bending right over in the wind on our street in Crofton Downs, half an hour ago now. A few garden items have blown away.",Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,Two cars have just collided.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,Trees bending right over out there.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,"A strong gas smell near the shops on our street in Eastbourne, 10 minutes ago now. Getting stronger the longer I'm out here.",Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,Reporting trees bending right over in the wind in Waitangirua.,"Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,Wind's howling outside right now.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,"Wind strong enough to knock things over on our street in Khandallah, 20 minutes ago now. Hard to walk in a straight line outside.",Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,"There's been heavy rain that hasn't let up near Thorndon, started about half an hour ago. Gutters can't keep up with it.",Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,Reporting a slip that's come down onto the road in Paparangi — first noticed it 45 minutes ago. No one's directing traffic yet.,That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,Reporting roof tiles rattling loudly in the wind in Maupuia — first noticed it 20 minutes ago. Fence is creaking badly.,Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,"There's smoke rising from the reserve near Paraparaumu, not sure how serious it is.","Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,"There's been a new crack across the driveway near Oriental Bay, started about an hour ago. Nothing else seems affected.",Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,Flooding's spreading down our street.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,Just saw someone collapsed near the shops near our place in Wadestown.,"Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,Just saw a whole-street power outage near our place in Tawa.,"Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,"Two shakes close together on our street in Highbury, a few minutes ago now. Neighbours felt it too.",Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,"A chemical smell coming from the industrial area in Naenae, happened a little while ago.","Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,There's been a slip blocking part of the walking track in Avalon since about 20 minutes ago. Been raining heavily beforehand.,Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,"A sudden drop in water pressure in Kilbirnie, happened a little while ago.","Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,Nonstop heavy rain out there.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,Reporting a gentle tremor in Lyall Bay — first noticed it an hour ago. Still feels a bit unsteady.,That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,"There's been a small slip on the bank behind the house near Crofton Downs, started about 10 minutes ago. Been raining heavily beforehand.",Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,A crash just happened outside.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,"A rolling motion that lasted a while on our street in Lower Hutt, half an hour ago now. Power flickered during it.",That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,Water level at the wharf looks off.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,"There's been an unusual, hard-to-place smell in Redwood since about 20 minutes ago. Getting stronger the longer I'm out here.",Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,Reporting water over the footpath in Glenside — first noticed it 20 minutes ago. Kids usually walk that route to school.,That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,"There's a small fire, contained so far.","Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,"There's an unusual, hard-to-place smell near Titahi Bay, not sure how serious it is.","Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,"There's been a cracked chimney near Brooklyn, started about a few minutes ago. Been keeping an eye on it since I noticed.",That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,"There's gale-force gusts near Taita, not sure how serious it is.","Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,Wind's really picked up.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,"A retaining wall that looks like it's leaning in Plimmerton, happened a little while ago.","Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,Reporting two cars colliding in Featherston — first noticed it an hour ago. Traffic's backed up behind it.,That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,Windows rattled just now.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,New crack across the driveway.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,"There's a block-wide power outage near Seatoun, not sure how serious it is.","Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,"There's someone stuck on the cliff path near Southgate, not sure how serious it is.","Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,Something's smouldering nearby.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,"Smoke coming from a neighbouring property in Rongotai, happened a little while ago.","Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,There's been an elderly neighbour not answering all day in Lower Hutt since about 20 minutes ago. Can't tell exactly what's going on from here.,Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,Just saw wind howling through the street near our place in Cannons Creek.,"Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,There's been an odd water level at the wharf in Maupuia since about half an hour ago. Seems to be changing quickly.,Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,Heaviest rain I've seen in a while.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,There's a chemical smell in the air.,"Thanks for flagging this — can you describe what's happening a bit more, and your rough location?",,
1_ask,Chimney's cracked near the top.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,There's been a multi-car crash in Lower Hutt since about a few minutes ago. Can't tell if anyone's hurt from here.,Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,Everything shook for a second.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,Ceiling's got a spreading damp patch.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,Reporting thick smoke drifting through the street in Avalon — first noticed it an hour ago. Smoke seems to be getting thicker.,That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,"A power line down across the road on our street in Linden, an hour ago now. Been out for a little while now.",That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,"There's a cracked chimney near Island Bay, not sure how serious it is.","Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,"A concerned group gathered nearby on our street in Highbury, 20 minutes ago now. A small crowd's formed around them.",That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,Noticed water over the footpath around Plimmerton this morning.,"Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,Rain's really hammering down.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,Something just shook the house.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,A power line's down across the road.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,There's been debris partially blocking the road in Lyall Bay since about 45 minutes ago. Debris covers about half the road.,Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,Reporting debris partially blocking the road in Wainuiomata.,"Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,Noticed a small slip on the bank behind the house around Waitangirua this morning.,"Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,Smoke's rising from the reserve.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,"Flooding near the local shops on our street in Stokes Valley, 20 minutes ago now. A couple of letterboxes are half-submerged.",Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,"There's been shifted ground near the retaining wall near Khandallah, started about an hour ago. No rocks have actually come down yet.",That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,Reporting torrential rain in Owhiro Bay.,"Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,"Creaking during a shake in Petone, happened a little while ago.","Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,Reporting water pooling on the road in Karori — first noticed it 45 minutes ago. Cars are still able to get through slowly.,Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,Noticed a sinkhole on the road around Berhampore this morning.,"Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,House just swayed a lot.,"Thanks for flagging this — can you describe what's happening a bit more, and your rough location?",,
1_ask,A sinkhole's opened up.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,The ground just shook.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,There's been someone collapsed near the shops in Johnsonville since about 45 minutes ago. Can't tell exactly what's going on from here.,Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,"Much bigger waves than normal on our street in Aro Valley, half an hour ago now. Seems to be changing quickly.",That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,"Water rising fast in the gutter on our street in Mount Victoria, a few minutes ago now. It's rising steadily.",Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,"There's been rain heavier than usual near Vogeltown, started about 20 minutes ago. Gutters can't keep up with it.",Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,Water's coming up in the carpark.,"Thanks for flagging this — can you describe what's happening a bit more, and your rough location?",,
1_ask,A slip's blocked part of the walking track.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,Sulphur smell in the air.,"Thanks for flagging this — can you describe what's happening a bit more, and your rough location?",,
1_ask,The wall's bulging at the base.,"Thanks for flagging this — can you describe what's happening a bit more, and your rough location?",,
1_ask,There's been wind howling through the street in Avalon since about 10 minutes ago. Fence is creaking badly.,Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,"A smell like burning plastic in Newtown, happened a little while ago.","Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,Reporting a cracking sound from the hillside in Whitby — first noticed it a few minutes ago. It's above a few houses.,Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,"Flooding near the local shops in Elsdon, happened a little while ago.","Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,"There's been buckled road surface near Aro Valley, started about an hour ago. Debris covers about half the road.",Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,Reporting a retaining wall that looks like it's leaning in Glenside — first noticed it 45 minutes ago. It's on the side facing the street.,Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,"A motorbike accident in Newlands, happened a little while ago.","Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,Smoke's coming from next door.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,The road's partially blocked by debris.,"Thanks for flagging this — can you describe what's happening a bit more, and your rough location?",,
1_ask,Reporting rain coming down very hard in Melling — first noticed it a few minutes ago. Driveway's starting to pool.,That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,Just saw heavy rain that hasn't let up near our place in Porirua.,"Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,Rain hasn't let up for ages.,"Thanks for flagging this — can you describe what's happening a bit more, and your rough location?",,
1_ask,Waves are much bigger than normal.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,"There's two shakes close together near Miramar, not sure how serious it is.","Thanks for that — roughly when did this start, and does it seem to be getting worse?",,
1_ask,Just saw rain heavier than usual near our place in Hataitai.,"Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,Reporting buckled road surface in Waikanae.,"Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,Just saw windows rattling from a shake near our place in Wadestown.,"Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,Reporting a strange visible current in Otaki — first noticed it half an hour ago. Never seen it like this before.,Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,The retaining wall looks like it's leaning.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,There's been a sharp jolt in Paparangi since about a few minutes ago. Doesn't seem to have caused any damage.,Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,There's been something smouldering nearby in Whitby since about 45 minutes ago. Smoke seems to be getting thicker.,Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,There's been smoke coming from a neighbouring property in Maupuia since about 10 minutes ago. No flames visible from here yet.,Thanks for the detail — can you confirm whether anyone's been hurt or if there's any visible damage?,,
1_ask,There's been windows rattling from a shake in Johnsonville since about 10 minutes ago. Nothing fell that I can see.,That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,"There's been a tree fallen across the road near Greytown, started about a few minutes ago. No one's directing traffic yet.",That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,Felt a strong shake just now.,"Thanks for flagging this — can you describe what's happening a bit more, and your rough location?",,
1_ask,"Water pooling on the road in Newtown, happened a little while ago.","Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
1_ask,Reporting a sinkhole on the road in Otaki — first noticed it an hour ago. One lane's still passable.,Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,"There's been nonstop heavy rain near Redwood, started about 10 minutes ago. Neighbour's yard is flooding a bit.",That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,There's been someone shouting for help in Greytown since about 45 minutes ago. Not sure how long they've been there.,Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,Just saw something smouldering nearby near our place in Taita.,"Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,The transformer's sparking on the pole.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,There's been an unusually low tide in Lyall Bay since about 20 minutes ago. Never seen it like this before.,That's really helpful — one more thing: has it changed or gotten worse since you first noticed it?,,
1_ask,The ground's shifted near the retaining wall.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,Felt two quick shakes.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,"Just saw a small, so-far-contained fire near our place in Porirua.","Can you tell us a bit more about the scale of it, and whether anyone's affected?",,
